Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
10,"Chamberlain J., Hewson R.",Direct Submission," Novel & Dangerous Pathogens, Centre for Emergency Preparedness and Response, Health Protection Agency Porton Down, Salisbury, WILTS SP4 0JG, United Kingdom",,2005,"DQ076418.1, DQ076416.1, DQ076413.1, DQ076417.1, DQ076415.1, DQ076414.1, DQ076412.1",Orthonairovirus haemorrhagiae (7),"23-N (6), 26-J (1)",nan (7),"South Africa (3), Uganda (3), Nigeria (1)",nan (7),"L protein (4), nucleoprotein (3)","100-500 (1), 1000-3000 (3), >10000 (3)","482 (3), 3945 (3), 72 (1)","75%-90% (1), 95%-100% (6)"
11,"Chamberlain J., Tolley H., Cook N., Lloyd G., Hewson R.",Direct Submission," Novel & Dangerous Pathogens, Centre for Emergency Preparedness and Response, Health Protection Agency, Porton Down, Salisbury, WILTS SP4 0JG, UK",,2005,"AY947890.1, AY947891.1",Orthonairovirus haemorrhagiae (2),23-N (2),nan (2),"Iraq (1), Nigeria (1)",nan (2),L protein (2),"12162 (1), 12160 (1)",3945 (2),95%-100% (2)
12,"Chamberlain J., Tolley H., Mioulet V., Cook N., Hewson R.",Direct Submission," Novel & Dangerous Pathogens, Centre for Emergency Preparedness and Response, Health Protection Agency # Porton Down, Porton Down, Salisbury, Wilts SP4 0JG, UK",,2005,DQ144418.1,Orthonairovirus haemorrhagiae (1),15-M (1),nan (1),Democratic Republic of the Congo (1),nan (1),nucleoprotein (1),1640 (1),482 (1),95%-100% (1)
13,"Chinikar S., Jalali T., Shahhosseini N.",Genetic diversity of Crimean-Congo hemorrhagic fever virus strains from Iran,Unpublished,,,KP075639.1,Orthonairovirus haemorrhagiae (1),31-O (1),Homo sapiens (1),Iran (1),2012 (1),glycoprotein (1),479 (1),159 (1),90%-95% (1)
14,"Chinikar S., Persson S., Johansson M., Bladh L., Goya M., Houshmand B., Mirazimi A., Plyusnin A., Lundkvist A., Nilsson M.",Genetic analysis of Crimean-congo hemorrhagic fever virus in Iran,"J. Med. Virol. 73 (3), 404-411 (2004)",15170636.0,2004,"AY366387.1, AY366386.1, AY366385.1, AY366384.1, AY366383.1, AY366382.1, AY366381.1, AY366380.1, AY366379.1, AY366378.1, AY366377.1, AY366376.1, AY366375.1, AY366374.1, AY366373.1",Orthonairovirus haemorrhagiae (15),25-J (15),nan (15),nan (15),nan (15),"glycoprotein (8), nucleoprotein (7)","520 (8), 499 (7)","173 (8), 166 (7)","90%-95% (10), 95%-100% (5)"
15,"Chinikar S., Shahhosseini N.",Crimean-Congo Hemorrhagic Fever Virus in ticks and livestock: a Molecular and Seroepidemiological Survey in Borderline of Iran-Pakistan-Gulf of Oman Littoral,Unpublished,,,KU242341.1,Orthonairovirus haemorrhagiae (1),31-D (1),Rhipicephalus sp. (1),Iran (1),2015 (1),N protein (1),530 (1),176 (1),90%-95% (1)
16,"Chinikar S., Shahhosseini N.",Direct Submission," Pasteur Institute of Iran, Iran",,2015,KT931954.1,Orthonairovirus haemorrhagiae (1),24-S (1),Hyalomma sp. (1),Iran (1),2014 (1),N-protein (1),478 (1),159 (1),90%-95% (1)
17,Chitimia-dobler L.,Direct Submission," Parasitology, University of Hohenheim, Schloss Hohenheim 1, Stuttgart, BW 70593, Germany",,2019,MN097144.1,Orthonairovirus haemorrhagiae (1),10-S (1),Hyalomma impeltatum (1),Sudan (1),2018 (1),nucleoprotein (1),237 (1),79 (1),90%-95% (1)
18,"Christova I., Di caro A., Papa A., Castilletti C., Andonova L., Kalvatchev N., Papadimitriou E., Carletti F., Mohareb E., Capobianchi M., Ippolito G., Rezza G.","Crimean-Congo hemorrhagic fever, southwestern Bulgaria","Emerging Infect. Dis. 15 (6), 983-985 (2009)",19523314.0,2009,"FJ445749.1, FJ160262.1",Orthonairovirus haemorrhagiae (2),26-J (2),Homo sapiens (2),Bulgaria (2),"2008 (1), 08-A (1)",nucleoprotein (2),261 (2),87 (2),95%-100% (2)
19,"D'addiego J., Wand N., Afrough B., Fletcher T., Kurosaki Y., Leblebicioglu H., Hewson R.",Recovery of Complete Genome Sequences of Crimean-Congo Haemorrhagic Fever Virus (CCHFV) Directly from Clinical Samples: A Comparative Study Between Targeted Enrichment and Metagenomic Approaches,Unpublished,,,"OQ866633.1, OQ866632.1, OQ866631.1",Orthonairovirus haemorrhagiae (3),15-A (3),Homo sapiens (3),Turkey (3),20-J (3),"RNA-dependent RNA polymerase (1), glycoproteins precursor (1), nucleocapsid protein (1)","12051 (1), 5203 (1), 1657 (1)","3940 (1), 1688 (1), 482 (1)",95%-100% (3)
20,"Di caro A., Carletti F., Castilletti C., Capobianchi M., Ippolito G., Bordi L., Lalle E., Chiappini R.",Direct Submission," Biorepository, National Institute for Infectious Diseases, Via Portuense 292, Rome, RM 00149, Italy",,2008,FJ445749.1,Orthonairovirus haemorrhagiae (1),26-J (1),Homo sapiens (1),Bulgaria (1),2008 (1),nucleoprotein (1),261 (1),87 (1),95%-100% (1)
21,"Durmaz R., Ertek M., Kalaycioglu A.",Direct Submission," Molecular Microbiology Research and Application Laboratory, Turkish National Public Health Agency, Saglik mah. Adnan Saygun cad. No. 55, Ankara, Ankara 06100, Turkey",,2012,JX308616.1,Orthonairovirus haemorrhagiae (1),30-A (1),Homo sapiens (1),Turkey (1),2011 (1),envelope glycoprotein precursor (1),760 (1),253 (1),95%-100% (1)
22,"Durmaz R., Kalaycioglu A., Unaldi O., Ozkul A., Korukluoglu G., Uyar Y., Ertek M.",Direct Submission," Refik Saydam National Public Health Agency, Molecular Microbiology Research and Application Laboratory, Cemal Gursel cad. No. 18 Sihhiye, Ankara 06100, Turkey",,2010,HQ829816.1,Orthonairovirus haemorrhagiae (1),25-J (1),Homo sapiens; sex: male (1),Turkey (1),2010 (1),glycoprotein precursor (1),744 (1),248 (1),95%-100% (1)
23,Ergunay C.,Direct Submission," Department of Medical Microbiology Virology Unit, Hacettepe University Faculty of Medicine, Morphology Building 3rd floor, Ankara 06420, Turkey",,2019,"MN811042.1, MN811041.1, MN811040.1, MN811039.1, MN811038.1, MN811037.1, MN811036.1, MN811035.1, MN811034.1, MN811033.1, MN811032.1, MN811031.1, MN811030.1",Orthonairovirus haemorrhagiae (13),25-A (13),"Rhipicephalus bursa (4), Rhipicephalus turanicus (3), Rhipicephalus sanguineus sensu lato (3), Hyalomma marginatum (2), Hyalomma scupense (1)",Turkey (13),"Jul- (6), Jun- (5), May- (2)","RNA-dependent RNA polymerase (7), glycoprotein precursor (3), nucleocapsid protein (3)","100-500 (4), 1000-3000 (3), 3000-5000 (1), 5000-10000 (2), >10000 (3)","100-500 (7), 1000-3000 (3), 3000-5000 (3)","75%-90% (3), 90%-95% (6), 95%-100% (4)"
24,"Ergunay K., Dincer E., Kar S., Emanet N., Yalcinkaya D., Polat dincer P., Brinkmann A., Hacioglu S., Nitsche A., Ozkul A., Linton Y.","Multiple orthonairoviruses including Crimean-Congo hemorrhagic fever virus, Tamdy virus and the novel Meram virus in Anatolia","Ticks Tick Borne Dis 11 (5), 101448 (2020)",32723637.0,2020,"MN811042.1, MN811041.1, MN811040.1, MN811039.1, MN811038.1, MN811037.1, MN811036.1, MN811035.1, MN811034.1, MN811033.1, MN811032.1, MN811031.1, MN811030.1, NC_078322.1, NC_078321.1, NC_078320.1, NC_078325.1, NC_078324.1, NC_078323.1, MN792653.1, MN792652.1, MN792651.1, MN829807.1, MN829806.1, MN972596.1, MN972595.1, MN972594.1","Orthonairovirus haemorrhagiae (13), Orthonairovirus tomdiense (6), Meram virus (6), Bole Tick Virus 3 (2)","25-A (21), 08-M (3), 07-M (3)","Hyalomma aegyptium (12), Rhipicephalus bursa (5), Rhipicephalus turanicus (4), Rhipicephalus sanguineus sensu lato (3), Hyalomma marginatum (2), Hyalomma scupense (1)",Turkey (27),"Jun- (12), Jul- (7), 22-M (6), May- (2)","RNA-dependent RNA polymerase (11), glycoprotein precursor (7), nucleocapsid protein (5), nucleoprotein (3), glycoprotein (1)","100-500 (4), 1000-3000 (8), 3000-5000 (5), 5000-10000 (3), >10000 (7)","30-100 (2), 100-500 (11), 500-1000 (4), 1000-3000 (3), 3000-5000 (7)","25%-50% (7), 50%-75% (6), 75%-90% (3), 90%-95% (6), 95%-100% (4)"
25,"Fajs L., Jakupi X., Ahmeti S., Humolli I., Dedushaj I., Avsic-zupanc T.",Molecular epidemiology of Crimean-Congo hemorrhagic fever virus in Kosovo,"PLoS Negl Trop Dis 8 (1), E2647 (2014)",24416468.0,2014,"KF595149.1, KF595148.1, KF595147.1, KF595146.1, KF595145.1, KF595144.1, KF595143.1, KF595142.1, KF595141.1, KF595140.1, KF595139.1, KF595138.1, KF595137.1, KF595136.1, KF595135.1, KF595134.1, KF595133.1, KF595132.1, KF595131.1, KF595130.1, KF595129.1, KF595128.1, KF595127.1, KF039983.1, KF039982.1, KF039981.1, KF039980.1, KF039979.1, KF039978.1, KF039977.1, KF039976.1, KF039975.1, KF039974.1, KF039973.1, KF039972.1, KF039971.1, KF039970.1, KF039969.1, KF039968.1, KF039967.1, KF039966.1, KF039965.1, KF039964.1, KF039963.1, KF039962.1, KF039961.1, KF039960.1, KF039959.1, KF039958.1, KF039957.1, KF039956.1, KF039955.1, KF039954.1, KF039953.1, KF039952.1, KF039951.1, KF039950.1, KF039949.1, KF039948.1, KF039947.1, KF039946.1, KF039945.1, KF039944.1, KF039943.1, KF039942.1, KF039941.1, KF039940.1, KF039939.1, KF039938.1, KF039937.1, KF039936.1, KF039935.1, KF039934.1, KF039933.1, KF039932.1",Orthonairovirus haemorrhagiae (75),12-M (75),Homo sapiens (75),Kosovo (75),"01-O (52), 01-J (23)","glycoprotein precursor (52), nucleoprotein (23)","421 (52), 1109 (23)","140 (52), 369 (23)",95%-100% (75)
26,"Fajs L., Jakupi X., Avsic-zupanc T.",Direct Submission," Laboratory for Diagnosis of Zoonoses, Institute of Microbiology and Immunology, MF, UL, Zaloska 4, Ljubljana, Ljubljana 1000, Slovenia",,2013,"KF039942.1, KF039941.1, KF039940.1, KF039939.1, KF039938.1, KF039937.1, KF039936.1, KF039935.1, KF039934.1, KF039933.1, KF039932.1",Orthonairovirus haemorrhagiae (11),12-M (11),Homo sapiens (11),Kosovo (11),01-O (11),nucleoprotein (11),1109 (11),369 (11),95%-100% (11)
27,"Fazlalipour M., Baniasadi V., Jalali T., Jamshidi Y., Mohammadi T., Azad-manjiri S., Khakifirouz S., Salehi-vaziri M.",Crimean-Congo Hemorrhagic Fever Virus isolated from Kurdistan,Unpublished,,,KX458022.1,Orthonairovirus haemorrhagiae (1),17-J (1),Homo sapiens (1),Iran (1),06-J (1),nucleocapsid (1),505 (1),167 (1),95%-100% (1)
28,"Fazlalipour M., Baniasadi V., Jalali T., Jamshidi Y., Mohammadi T., Azad-manjiri S., Khakifirouz S., Salehi-vaziri M.",Crimean-Congo Hemorrhagic Fever Virus isolated from Mazandaran,Unpublished,,,KX458023.1,Orthonairovirus haemorrhagiae (1),17-J (1),Homo sapiens (1),Iran (1),May- (1),nucleocapsid (1),504 (1),167 (1),95%-100% (1)
29,"Febrer sendra B., Fernandez-soto P.",Direct Submission," Parasitology Department, University of Salamanca, Campus Miguel de Unamuno Calle licenciado mendez, Salamanca, Salamanca 37007, Espana",,2022,OP889253.1,Orthonairovirus haemorrhagiae (1),23-M (1),nan (1),nan (1),nan (1),nucleocapsid protein (1),212 (1),69 (1),90%-95% (1)
30,"Febrer-sendra B., Fernandez-soto P., Garcia-bernalt diego J., Crego-vicente B., Negredo A., Munor-bellido J., Belhassen-garcia M., Sanchez-seco M., Muro A.",A Novel RT-LAMP for the Detection of Different Genotypes of Crimean-Congo Haemorrhagic Fever Virus in Patients from Spain,"Int J Mol Sci 24 (7), 6411 (2023)",37047384.0,2023,"OP889253.1, OP776634.1, OP776633.1, OP776632.1, OP776631.1",Orthonairovirus haemorrhagiae (5),23-M (5),"Homo sapiens (4), nan (1)","Spain (4), nan (1)","nan (1), Apr- (1), Aug- (1), Jul- (1), Jun- (1)",nucleocapsid protein (5),"200 (4), 212 (1)","66 (4), 69 (1)","90%-95% (2), 95%-100% (3)"
31,"Feng C., Zhang Y., Sun S., Wang X., Meng W., Dai X., Hang C.",Direct Submission," The Center for Disease Control and Prevention of Xinjiang Uygur Autonomous Region, Xinjiang Key Lab of Biological Resources and Genetic Engineering, College of Life Science and Technology, Xinjiang University, Urumuqi 830046, P.R. China",,2008,EU715258.1,Orthonairovirus haemorrhagiae (1),26-J (1),Homo sapiens (1),China (1),1968 (1),nucleocapsid protein (1),220 (1),73 (1),90%-95% (1)
32,"Gmyl A., Gmyl L., Smironova S., Karganova G., Hewson R.",Direct Submission," Special Pathogens, HPA Porton Down, Salisbury, WILTS SP40JG, UK",,2004,"AY573568.1, AY573567.1, AY573566.1, AY573565.1",Orthonairovirus haemorrhagiae (4),26-J (4),nan (4),"Russia (2), Nigeria (2)",nan (4),"envelope glycoprotein precursor (2), nucleocapsid protein (2)","433 (2), 568 (1), 569 (1)","144 (2), 137 (2)",95%-100% (4)
33,"Hall T., Sampath R., Eshoo M.",COMPOSITIONS FOR USE IN IDENTIFICATION OF VIRAL HEMORRHAGIC FEVER VIRUSES,Patent,,2008,DL138932.1,Orthonairovirus haemorrhagiae (1),26-S (1),nan (1),nan (1),nan (1),nan (1),1672 (1),0 (1),
34,"Hayasaka D., Nabeshima T., Shimada S., Aoki K.",Direct Submission," Contact:Daisuke Hayasaka Institute of Tropical Medicine, Nagasaki University, Department of Virology; 1-12-4 Sakamoto, Nagasaki, Nagasaki 852-8523, Japan URL :http://www.tm.nagasaki-u.ac.jp/virology/",,2014,"NC_029124.1, NC_029123.1, NC_029122.1, LC008512.1, LC008511.1, LC008510.1",Tofla virus (6),"13-A (3), 02-A (3)",Haemaphysalis flava (Tick) (6),Japan (6),2013 (6),"RNA-dependent RNA polymerase (2), glycoprotein precursor (2), nucleocapsid protein (2)","12143 (2), 4625 (2), 1699 (2)","3529 (2), 727 (2), 485 (2)","25%-50% (2), 50%-75% (4)"
35,"Hayasaka D., Shimada S., Nabeshima T.",Direct Submission," Contact:Daisuke Hayasaka Nagasaki University, Institute of Tropical Medicine; 1-12-4 Sakamoto, Nagasaki, Nagasaki 852-8523, Japan URL :http://www.tm.nagasaki-u.ac.jp/virology/",,2015,"LC030115.1, LC030114.1, LC030113.1",Tofla virus (3),02-A (3),Haemaphysalis formsensis (3),Japan (3),2014 (3),"RNA-dependent RNA polymerase (1), glycoprotein (1), nucleoprotein (1)","12143 (1), 4625 (1), 1699 (1)","3966 (1), 729 (1), 485 (1)","25%-50% (1), 50%-75% (2)"
36,Hewson R.,Direct Submission," Hewson R., Special Pathogens / Virology, Centre for Applied Microbiology Research, Porton Down, Salisbury, WILTS SP4 0JG, UNITED KINGDOM",,2003,"AJ538197.2, AJ538199.1, AJ538198.1, AJ538196.1",Orthonairovirus haemorrhagiae (4),01-O (4),nan (4),"Iraq:Baghdad (2), Pakistan:Karachi (2)",nan (4),"envelope glycoprotein precursor (2), nucleocapsid (2)","5354 (1), 5366 (1), 1667 (1), 1673 (1)","482 (2), 1690 (1), 1686 (1)","75%-90% (2), 95%-100% (2)"
37,Hewson R.,Direct Submission," Hewson R., Special Pathogens, CAMR, Porton Down, WILTS SP40JG, UNITED KINGDOM",,2003,AJ579312.1,Orthonairovirus haemorrhagiae (1),01-O (1),nan (1),nan (1),nan (1),nan (1),4238 (1),0 (1),
38,Hewson R.,Direct Submission," Hewson R., Special Pathogens, Health Protection Agency, CAMR, Salisbury, SP4 0JG, UNITED KINGDOM",,2004,"AJ620685.1, AJ620684.1, AJ620683.1, AJ620682.1",Orthonairovirus haemorrhagiae (4),26-J (4),nan (4),"Nigeria (2), Uzbekistan (1), Russia (1)",nan (4),L protein (4),"1009 (2), 980 (1), 1007 (1)",298 (4),"90%-95% (3), 95%-100% (1)"
39,"Hewson R., Gmyl A., Gmyl L., Smirnova S., Karganova G., Jamil B., Hasan R., Chamberlain J., Clegg C.",Evidence of segment reassortment in Crimean-Congo haemorrhagic fever virus,"J. Gen. Virol. 85 (PT 10), 3059-3070 (2004)",15448369.0,2004,"AY573568.1, AY573567.1, AY573566.1, AY573565.1, AY223476.1, AY223475.1, AJ620685.1, AJ620684.1, AJ620683.1, AJ620682.1, AJ538197.2, AJ538199.1, AJ538198.1, AJ538196.1, AJ579312.1",Orthonairovirus haemorrhagiae (15),"26-J (8), 01-O (5), 27-S (2)",nan (15),"Nigeria (4), Russia (3), nan (3), Iraq:Baghdad (2), Pakistan:Karachi (2), Uzbekistan (1)",nan (15),"envelope glycoprotein precursor (4), L protein (4), nucleocapsid protein (3), nucleocapsid (2), polyprotein (1), nan (1)","100-500 (2), 500-1000 (3), 1000-3000 (6), 3000-5000 (1), 5000-10000 (3)","<30 (1), 100-500 (11), 1000-3000 (3)","75%-90% (3), 90%-95% (3), 95%-100% (8)"
40,"Ji J., Zhou H., Cui M., Guo M., Ma Z., Li L., Hu T., Shi W.",Direct Submission," Key Laboratory of Etiology and Epidemiology of Emerging Infectious Diseases, Shandong First Medical University and Shandong Academy of Medical Sciences, Yingshengdonglu No. 2, Taian 271000, China",,2022,"ON500502.1, ON500501.1, ON500500.1",Orthonairovirus haemorrhagiae (3),30-D (3),Hyalomma asiaticum (3),nan (3),nan (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleocapsid protein (1)","12123 (1), 5341 (1), 1717 (1)","3945 (1), 1689 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
41,"Kalaycioglu A., Durmaz R.",Direct Submission," Molecular Microbiology Research and Application Laboratory, Turkish National Public Health Agency, Saglik mah. Adnan Saygun cad. No. 55, Ankara, Ankara 06100, Turkey",,2012,KC150004.1,Orthonairovirus haemorrhagiae (1),30-J (1),Homo sapiens (1),Turkey (1),2012 (1),envelope glycoprotein precursor (1),824 (1),274 (1),95%-100% (1)
42,"Kalaycioglu A., Durmaz R., Uyar Y., Unaldi O., Aksekili E., Ozkul A., Korukluoglu G., Ertek M.",Lack of genetic diversity in Crimean-Congo hemorrhagic fever viruses in Turkey: assessment of present and future patterns of disease,"J. Med. Virol. 84 (3), 471-478 (2012)",22246834.0,2012,"HQ685840.1, HQ685839.1, HQ675010.1, HQ675009.1, HQ675008.1, HQ675007.1, HQ675006.1, HQ675005.1, HQ675004.1, HQ675003.1, HQ675002.1, HQ188922.1, HQ188921.1, HQ188920.1, HQ188919.1, HQ188918.1, HQ188917.1, HQ188916.1, HQ188915.1, HQ188914.1, HQ188913.1, HQ173902.1, HQ173901.1, HQ173900.1, HQ173899.1, HQ173898.1, HQ173897.1, HQ173896.1, HQ173895.1, HQ173894.1, HQ173893.1, HQ166288.1, HQ166287.1, HQ664913.1, HQ659777.1",Orthonairovirus haemorrhagiae (35),27-J (35),Homo sapiens (35),Turkey (35),"2009 (21), 2010 (14)",S protein (35),"100-500 (1), 500-1000 (34)","174 (29), 175 (4), 161 (1), 176 (1)",95%-100% (35)
43,"Kalaycioglu A., Oguzoglu T., Oguz A., Durmaz R., Engin A., Bakir M.",Direct Submission," Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Karadeniz Technical University, Trabzon, Trabzon 61080, Turkey",,2022,ON209430.1,Orthonairovirus haemorrhagiae (1),31-J (1),Homo sapiens (1),Turkey (1),2021 (1),nucleoprotein (1),1673 (1),482 (1),95%-100% (1)
44,"Kalvatchev N., Christova I., Andonova L.",Direct Submission," Microbiology, National Centre of Infectious and Parasitic Diseases, 26 Yanko Sakazov Blvd., Sofia 1504, Bulgaria",,2009,GU138618.1,Orthonairovirus haemorrhagiae (1),08-N (1),Homo sapiens (1),Bulgaria (1),22-J (1),nan (1),246 (1),0 (1),
45,"Karganova G., Gmyl A., Gmyl L., Smirnova S.",Direct Submission," Institute of Poliomyelitis and Viral Encephalitides RAMS, Leninskii r-n, PO Institut Poliomielita, Moscow region, Russia",,2003,"AY223476.1, AY223475.1",Orthonairovirus haemorrhagiae (2),27-S (2),nan (2),nan (2),nan (2),"polyprotein (1), nucleocapsid protein (1)","5356 (1), 1673 (1)","1690 (1), 482 (1)","75%-90% (1), 95%-100% (1)"
46,"Kayedi M., Chinikar S., Mostafavi E., Khakifirouz S., Jalali T., Hosseini-chegeni A., Naghizadeh A., Niedrig M., Fooks A., Shahhosseini N.",Crimean-Congo Hemorrhagic Fever Virus Clade IV (Asia 1) in Ticks of Western Iran,J. Med. Entomol. (2015) In press,26336221.0,2015,"KR136202.1, KR136201.1, KR136200.1, KR136199.1, KR136198.1, KR136197.1, KR136196.1, KR136195.1, KR136194.1, KR136193.1, KR136192.1, KR136191.1, KR136190.1, KR136189.1, KR136188.1, KR136187.1, KR136186.1, KR136185.1, KR136184.1, KR136183.1, KR136182.1, KR136181.1, KR136180.1, KR136179.1, KR136178.1, KR136177.1, KR136176.1, KR136175.1, KR136174.1",Orthonairovirus haemorrhagiae (29),04-O (29),"Hyalomma anatolicum (12), Rhipicephalus sanguineus (9), Hyalomma asiaticum (7), Hyalomma marginatum (1)",Iran (29),2012 (29),"capsid protein (28), nan (1)","100-500 (7), 500-1000 (22)","<30 (1), 100-500 (28)","90%-95% (12), 95%-100% (16)"
47,"Kobinger G., Babuadze G.",CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS IMMUNOGENIC COMPOSITIONS,Patent,,2021,"MQ039150.1, MQ039158.1, MQ039157.1, MQ039156.1, MQ039155.1, MQ039149.1, MQ039148.1, MQ039147.1, MQ039146.1, MQ039145.1","synthetic construct (9), Orthonairovirus haemorrhagiae (1)",18-M (10),nan (10),nan (10),nan (10),nan (10),"1000-3000 (4), 3000-5000 (3), 5000-10000 (3)",0 (10),
